,core_id,serial,fw_version,start,end,loc_id,lat,lon,desc,record_date,battery_level,rain_median,rain_avg,rain_max,rain_min,noise_median,noise_avg,noise_max,noise_min,luminosity,temperature,humidity,pm10,pm25,no2,co,pressure
84,280027001947373239323130,E27TAB813MQG4SS,7,2019-03-01,,11,57.0424,9.9307,Jyllandsgade/Sønderbro,2019-05-19 23:40:58.638000+00:00,81.89,,2,22,-310,,44,78,29,0,14.62,78.86,21,21,1344,184,1009.6
85,30002a001947373239323130,E27TAB813TM6TER,7,2019-03-29,,26,57.0526,9.9089,Vestbyen Station,2019-05-19 23:41:44.840000+00:00,82.21,,-1,7,-358,,29,86,26,4,14.96,84.02,2,2,1711,189,1010.11
86,39001e000751373239383834,E27TAB813TMLQTN,7,2019-03-29,,27,57.0376,9.9314,Østre Allé/Sønderbro,2019-05-19 23:41:53.582000+00:00,83.68,,0,17,-572,,44,86,31,32,14.81,75.1,33,29,1461,165,1009.95
87,2f002f001847373239323130,E27TAB8135C2U6T,7,2019-04-03,,29,57.0454,9.9036,Kong Christians Allé/Hasserisgade,2019-05-19 23:44:49.426000+00:00,82.87,,-3,12,-541,,31,86,27,1,15.02,72.75,17,17,1516,176,1008.49
88,29001b000751373239383834,E27TAB813TMH4XJ,7,2019-03-29,,23,57.0559,9.9015,Peder Skrams Gade/Olfert Fischers Gade,2019-05-19 23:46:19.545000+00:00,81.24,,56,67,-307,,33,79,28,4,14.41,78.32,14,12,1776,177,1010.39
89,320033000751373239383834,E27TAB8139DUJVK,7,2019-03-29,,22,57.0409,9.9106,"Kong Christians Allé/Vesterbro
",2019-05-19 23:46:53.119000+00:00,81.89,,-26,15,-552,,48,86,30,0,14.94,72.99,16,16,1968,172,1007.75
90,2f001b000751373239383834,E27TAB813LCTH7X,7,2019-03-29,,25,57.0468,9.9395,Nyhavnsgade/Østre Havnegade,2019-05-19 23:50:13.272000+00:00,81.56,,25,386,-300,,46,82,30,17,14.58,75.27,25,23,1662,194,1010.79
91,3c001c000751373239383834,E27TAB813Y6YHM7,7,2019-03-29,,24,57.0557,9.8925,Vestre Fjordvej/Kastetvej,2019-05-19 23:51:33.781000+00:00,83.03,,-1,6,-229,,29,79,26,0,14.25,77.35,14,14,1878,196,1010.41
92,420055000751373239383834,E27TAB81383936T ,7,2018-11-14,,14,57.0495,9.9164,Vesterbro/Bispensgade,2019-05-19 23:52:01.635000+00:00,82.7,,-5,29,-398,,50,86,46,63,15.22,91.06,23,23,375,283,1009.08
93,280027001947373239323130,E27TAB813MQG4SS,7,2019-03-01,,11,57.0424,9.9307,Jyllandsgade/Sønderbro,2019-05-19 23:52:56.419000+00:00,81.73,,2,28,-210,,41,78,29,0,14.55,79.7,20,20,1377,207,1009.58
94,39001e000751373239383834,E27TAB813TMLQTN,7,2019-03-29,,27,57.0376,9.9314,Østre Allé/Sønderbro,2019-05-19 23:53:36.812000+00:00,83.68,,12,860,-262,,46,86,31,32,14.78,75.38,26,23,1473,168,1009.94
95,30002a001947373239323130,E27TAB813TM6TER,7,2019-03-29,,26,57.0526,9.9089,Vestbyen Station,2019-05-19 23:54:02.699000+00:00,82.05,,0,8,-243,,30,86,26,0,14.95,84.52,2,2,1713,181,1009.96
96,2f002f001847373239323130,E27TAB8135C2U6T,7,2019-04-03,,29,57.0454,9.9036,Kong Christians Allé/Hasserisgade,2019-05-19 23:56:38.861000+00:00,82.87,,1,667,-472,,31,84,26,1,14.93,73.45,21,19,1507,177,1008.43
97,29001b000751373239383834,E27TAB813TMH4XJ,7,2019-03-29,,23,57.0559,9.9015,Peder Skrams Gade/Olfert Fischers Gade,2019-05-19 23:58:21.691000+00:00,81.24,,58,70,-266,,36,79,28,4,14.41,78.95,15,10,1764,177,1010.31
98,320033000751373239383834,E27TAB8139DUJVK,7,2019-03-29,,22,57.0409,9.9106,"Kong Christians Allé/Vesterbro
",2019-05-19 23:58:53.625000+00:00,81.73,,-9,10,-299,,42,86,28,0,14.97,73.45,18,17,1963,168,1007.66
99,2f001b000751373239383834,E27TAB813LCTH7X,7,2019-03-29,,25,57.0468,9.9395,Nyhavnsgade/Østre Havnegade,2019-05-20 00:02:12.100000+00:00,81.56,,8,110,-254,,42,82,30,17,14.59,75.43,24,22,1643,169,1010.81
100,3c001c000751373239383834,E27TAB813Y6YHM7,7,2019-03-29,,24,57.0557,9.8925,Vestre Fjordvej/Kastetvej,2019-05-20 00:03:22.406000+00:00,83.03,,14,110,-279,,50,79,30,0,14.65,76.05,19,18,1870,197,1010.42
101,420055000751373239383834,E27TAB81383936T ,7,2018-11-14,,14,57.0495,9.9164,Vesterbro/Bispensgade,2019-05-20 00:03:52.652000+00:00,82.7,,11,55,-312,,55,86,50,63,15.13,91.66,20,19,405,252,1009.11
102,280027001947373239323130,E27TAB813MQG4SS,7,2019-03-01,,11,57.0424,9.9307,Jyllandsgade/Sønderbro,2019-05-20 00:04:54.309000+00:00,81.73,,1,19,-306,,47,78,43,0,14.48,80.56,18,18,1410,207,1009.51
103,380044001947373239323130,E27TAB813QFD4F5,7,2019-03-29,,28,57.0406,9.9447,Østre Allé/Langelandsgade,2019-05-20 00:05:03.265000+00:00,81.73,,5,35,-263,,38,78,28,72,14.49,72.88,21,20,1409,194,1008.94
104,39001e000751373239383834,E27TAB813TMLQTN,7,2019-03-29,,27,57.0376,9.9314,Østre Allé/Sønderbro,2019-05-20 00:05:22.012000+00:00,83.52,,2,24,-316,,33,86,27,32,14.85,75.77,26,24,1445,144,1009.91
105,30002a001947373239323130,E27TAB813TM6TER,7,2019-03-29,,26,57.0526,9.9089,Vestbyen Station,2019-05-20 00:06:21.413000+00:00,82.05,,1,10,-254,,30,86,26,0,14.97,85.48,2,2,1698,183,1010.02
